UMAP1,UMAP2,pKi
6.7961106,14.164009,8.045757490560675
6.999634,14.318617,7.045757490560675
7.440674,14.361907,7.853871964321762
8.540516,13.384955,6.301029995663981
7.092471,12.58216,8.301029995663981
6.677416,14.363503,6.431798275933005
6.8230734,14.21959,7.494850021680094
6.777124,14.1521635,7.744727494896693
7.95266,14.066679,7.568636235841013
7.4374156,14.399261,6.236572006437063
7.476538,14.467051,6.199998172182031
8.0174465,13.609901,6.844663962534939
7.0788608,12.520472,7.431798275933005
6.8539953,13.866372,7.795880017344075
6.9681764,14.363482,6.366531544420414
7.8338523,13.840671,6.920818753952375
7.8783236,13.848562,6.900008766455316
7.7118363,14.284235,6.638272163982407
7.7032943,14.306429,6.599997654072044
8.030866,13.413052,6.301029995663981
7.6337066,14.22053,6.301029995663981
7.0862527,12.577794,8.154901959985743
8.636071,13.34874,6.301029995663981
6.7202263,14.164099,8.397940008672037
6.8278,14.140288,8.522878745280337
8.145463,13.519565,7.958607314841775
8.200154,13.486979,8.0
7.0411663,12.542718,7.602059991327962
7.868477,13.004866,6.301029995663981
6.811492,14.155475,8.301029995663981
8.359976,13.466158,7.698970004336019
8.30348,13.469288,7.700057099977233
9.79781,13.52681,9.309803919971486
7.708895,14.629979,6.301029995663981
8.125922,13.523757,6.735182176990463
8.203054,13.577684,7.795880017344075
8.137689,13.513023,7.79997073344623
6.7795315,14.118181,8.221848749616356
6.8445663,14.063715,7.657577319177793
8.5028925,13.374623,6.301029995663981
7.6094856,14.449521,6.698970004336019
7.5885043,14.416419,6.699991797446187
7.6238694,14.492583,6.721246399047171
7.5915904,14.454781,6.699991797446187
8.065509,13.72565,7.42021640338319
8.073892,13.714469,7.400007822415902
7.745975,14.386758,6.537602002101044
7.7305326,14.348881,6.499996931948306
8.120072,13.552121,6.3979400086720375
6.743892,14.12677,7.67778070526608
6.7477317,14.115126,6.568636235841013
6.979464,14.292313,7.795880017344075
7.66979,14.224535,6.17134010346468
6.801831,14.10763,8.154901959985743
8.149578,13.512838,7.853871964321762
8.19735,13.53737,7.899974269892137
7.9564533,13.635549,6.777283528852417
3.2523696,17.03229,6.920818753952375
8.629195,13.359708,6.301029995663981
8.644755,13.355028,6.0
8.108367,13.494161,7.481486060122112
8.121346,13.500962,7.50003813440381
7.088015,12.571737,7.744727494896693
8.085534,13.548132,7.251811972993799
8.308549,13.487628,8.154901959985743
8.341413,13.454184,8.199970640755867
-10.722919,-20.48987,8.397940008672037
10.508267,3.6316457,7.387216143280264
10.50873,3.630506,7.400007822415902
10.508591,3.631007,7.50003813440381
